CommentOwnerId,PostOwnerId,Weight
9202,9202,1
9793,9793,19
201,2728,1
2728,2728,1
924,816,1
10187,10187,1
10427,10524,1
609,10510,2
10510,10510,2
10531,10536,2
10536,10536,1
10560,10568,3
10568,10568,2
10587,10523,2
10523,10523,1
9225,9225,3
947,9225,1
61791,9225,1
9323,10587,3
10587,10587,2
10327,10327,4
843,8777,1
10638,4968,1
21,10694,1
10694,10694,1
9420,9420,32
989,989,10
16538,989,1
54343,989,1
27469,989,1
69562,989,1
7980,9420,1
10815,3377,1
10815,5010,2
10314,5010,1
5010,5010,1
7980,10815,1
1359,10832,3
10832,10832,2
1406,10327,2
462,10327,1
13413,10865,1
3314,9420,1
201,9218,1
10879,8752,2
8752,8752,12
1359,10894,1
9323,9323,1
947,9061,1
7848,5211,1
7980,5211,1
10937,5211,1
1133,10915,1
122,7980,1
7980,7980,5
381,843,1
1077,10879,1
10879,10879,3
7848,173,1
10949,10949,2
10907,9420,4
9420,9793,4
11029,11029,1
14409,11029,1
1097,NULL,1
12980,684,1
8820,684,2
59171,684,2
947,947,2
8013,11113,6
836,11113,1
11113,11113,2
684,554,2
9814,9814,2
9893,9420,1
10512,10512,3
836,11146,1
11146,11146,1
924,9793,1
9035,201,1
201,201,41
11063,11021,1
2452,9793,1
7980,9793,3
12177,12177,1
2452,12177,1
21,12177,1
11142,11142,2
7980,12206,2
12473,12206,1
676,12206,1
10998,10998,3
7980,10998,1
12241,226,1
7980,226,1
226,226,2
9420,226,2
836,12250,2
12250,12250,5
10517,843,1
13023,843,2
12258,9420,1
947,5091,1
7980,10490,1
12241,10490,1
8041,12314,1
10189,10189,1
7980,12202,1
12202,12202,3
7980,12333,2
12333,12333,2
7848,12333,1
21,10210,1
7980,12350,1
12355,12356,1
21,12351,1
1256,3465,2
4647,12234,1
12234,12234,1
7980,12457,1
10517,10517,2
12473,12473,40
37754,12473,1
46800,12473,1
21,12443,1
924,12443,1
10522,10936,1
10936,10936,10
10522,11021,1
11021,11021,2
21,12516,1
947,12516,1
12536,12536,2
1279,12557,1
12557,12557,1
8986,1406,1
1406,1406,3
10936,12580,1
12580,12580,3
7848,12350,1
11097,11097,56
8479,9698,1
12527,12527,6
12663,12663,1
471,12665,1
12665,12665,4
12729,12665,4
381,5027,1
10587,12235,1
12235,12235,1
5211,5211,10
700,5211,1
12665,12730,1
12730,12730,1
6550,3314,1
843,8016,1
924,690,4
690,690,2
10620,10620,13
12736,14885,1
11097,14885,1
21,12807,1
4933,12807,2
947,12827,1
12241,12827,1
0,12827,1
21,12827,1
2452,12827,1
41651,12827,1
21,12844,1
12844,12844,1
12858,12858,2
836,12859,1
12876,12876,5
12294,11098,1
11098,11098,4
97,10936,2
10810,10810,3
10810,11097,1
8650,8650,4
9793,11097,1
381,12999,1
12996,12952,1
12952,12952,1
7848,13057,3
13057,13057,2
8320,12215,1
12215,12215,1
8088,97,3
12384,12384,9
6550,12321,1
0,12321,1
12321,12321,1
7980,12321,1
10094,12575,1
5177,989,1
3151,3151,8
3151,11097,6
2452,13182,1
13132,12363,1
6550,12909,1
12909,12909,8
10904,10904,2
13213,13213,1
8005,13155,1
471,13155,1
5177,13155,2
471,1077,2
10319,13309,3
11097,13315,1
11097,12363,1
12363,12363,9
13323,13176,1
13176,13176,1
339,5177,3
5177,5177,7
13285,13285,4
13447,924,1
13413,13413,22
13416,12290,1
13480,13413,2
7848,7848,9
21,8796,1
6550,13512,1
13481,13481,11
13296,13521,1
13521,13521,1
13521,13563,1
